engine_id,recorded_at,temperature_c,oil_pressure_psi,vibration_mm_s,fuel_flow_kg_h,engine_speed_percent,flight_hours,status,maintenance_required
ENG-001,2026-01-01 09:35:00,713.72,48.75,4.71,2538.64,90.1,2109,Warning,No
ENG-001,2026-01-01 09:40:00,679.81,54.12,2.84,2388.98,92.47,2109,Normal,No
ENG-001,2026-01-01 09:45:00,692.45,47.37,2.36,2529.76,95.28,2109,Normal,No
ENG-001,2026-01-01 09:50:00,743.49,43.29,4.11,2648.03,89.94,2109,Normal,No
ENG-001,2026-01-01 09:55:00,729.57,40.52,1.62,2597.56,93.83,2109,Warning,No
ENG-001,2026-01-01 10:00:00,695.71,51.61,3.26,2608.66,88.09,2109,Normal,No
ENG-001,2026-01-01 10:05:00,718.86,52.36,4.13,2200.52,92.71,2109,Normal,No
ENG-001,2026-01-01 10:10:00,727.73,36.47,5.31,2507.64,97.57,2109,Critical,Yes
ENG-001,2026-01-01 10:15:00,724.87,51.8,1.46,2301.83,86.81,2109,Normal,No
ENG-001,2026-01-01 10:20:00,676.08,45.87,4.57,2351.67,94.47,2109,Warning,No
ENG-001,2026-01-01 10:25:00,751.53,42.48,3.45,2632.42,85.27,2109,Warning,No
ENG-001,2026-01-01 10:30:00,739.6,55.81,3.87,2413.65,94.45,2109,Normal,No
ENG-001,2026-01-01 10:35:00,770.05,47.31,1.91,2471.8,86.88,2109,Warning,No
ENG-001,2026-01-01 10:40:00,691.36,53.87,4.59,2387.89,95.23,2109,Warning,No
ENG-001,2026-01-01 10:45:00,742.35,44.01,3.73,1976.15,91.05,2109,Normal,No
ENG-001,2026-01-01 10:50:00,680.65,45.28,2.29,2727.03,89.24,2109,Normal,No
ENG-001,2026-01-01 10:55:00,690.18,49.24,3.17,2442.75,97.74,2109,Normal,No
ENG-001,2026-01-01 11:00:00,794.4,51.14,3.71,2225.15,95.08,2109,Critical,Yes
ENG-001,2026-01-01 11:05:00,688.59,47.41,4.19,2690.87,96.34,2109,Normal,No
ENG-001,2026-01-01 11:10:00,725.77,53.0,0.23,2499.21,91.8,2109,Normal,No
ENG-001,2026-01-01 11:15:00,760.26,44.69,5.05,2299.3,99.59,2109,Warning,No
ENG-001,2026-01-01 11:20:00,759.48,41.66,4.02,2537.19,98.5,2109,Warning,No
ENG-001,2026-01-01 11:25:00,750.98,39.58,3.53,2401.58,91.28,2109,Warning,No
ENG-001,2026-01-01 11:30:00,753.52,44.39,3.32,2895.29,95.52,2109,Warning,No
ENG-001,2026-01-01 11:35:00,757.99,45.98,4.34,2389.12,93.44,2109,Warning,No
ENG-001,2026-01-01 11:40:00,690.57,45.07,2.83,2281.52,97.87,2109,Normal,No
ENG-001,2026-01-01 11:45:00,711.23,44.26,3.34,2424.38,91.64,2109,Normal,No
ENG-001,2026-01-01 11:50:00,689.26,41.45,2.65,2474.0,91.54,2109,Warning,No
ENG-001,2026-01-01 11:55:00,651.95,41.85,0.97,2281.84,96.43,2109,Warning,No
ENG-001,2026-01-01 12:00:00,690.86,42.19,2.01,2536.98,91.78,2109,Normal,No
ENG-001,2026-01-01 12:05:00,747.39,40.66,3.66,2274.05,90.58,2109,Warning,No
ENG-001,2026-01-01 12:10:00,741.7,36.79,2.27,2399.05,93.17,2109,Critical,Yes
ENG-001,2026-01-01 12:15:00,676.92,48.53,2.64,2440.4,89.97,2109,Normal,No
ENG-001,2026-01-01 12:20:00,688.24,54.09,3.91,2296.55,88.72,2109,Normal,No
ENG-001,2026-01-01 12:25:00,753.39,47.02,2.58,2297.12,90.94,2109,Warning,No
ENG-001,2026-01-01 12:30:00,716.39,40.86,4.85,2684.22,94.19,2109,Warning,No
ENG-001,2026-01-01 12:35:00,712.04,45.04,4.87,2408.32,88.77,2109,Warning,No
ENG-001,2026-01-01 12:40:00,699.49,50.33,2.16,2437.59,92.34,2109,Normal,No
ENG-001,2026-01-01 12:45:00,709.84,42.75,2.22,2678.23,99.08,2109,Normal,No
ENG-001,2026-01-01 12:50:00,702.87,51.3,1.87,2399.57,91.65,2109,Normal,No
ENG-001,2026-01-01 12:55:00,683.64,51.36,1.78,2879.5,93.61,2109,Normal,No
ENG-001,2026-01-01 13:00:00,749.63,47.8,4.0,2199.02,91.1,2109,Normal,No
ENG-001,2026-01-01 13:05:00,691.26,55.21,2.85,2568.28,93.4,2109,Normal,No
ENG-001,2026-01-01 13:10:00,672.47,51.21,4.63,2483.11,86.23,2109,Warning,No
ENG-001,2026-01-01 13:15:00,693.47,55.54,2.3,2392.54,90.29,2109,Normal,No
ENG-001,2026-01-01 13:20:00,683.88,49.9,1.63,2335.54,91.96,2109,Normal,No
ENG-001,2026-01-01 13:25:00,665.59,46.96,4.61,2305.36,91.58,2109,Warning,No
ENG-001,2026-01-01 13:30:00,671.82,46.28,4.23,2560.6,94.65,2109,Normal,No
ENG-001,2026-01-01 13:35:00,685.17,57.43,3.6,2116.09,86.96,2109,Normal,No
ENG-001,2026-01-01 13:40:00,692.2,35.98,4.32,2450.76,81.15,2109,Critical,Yes
ENG-001,2026-01-01 13:45:00,744.36,40.73,3.75,2691.17,87.36,2109,Warning,No
ENG-001,2026-01-01 13:50:00,693.86,43.51,2.47,2518.07,94.27,2109,Normal,No
ENG-001,2026-01-01 13:55:00,683.51,51.47,2.97,2502.17,88.06,2109,Normal,No
ENG-001,2026-01-01 14:00:00,699.37,48.84,4.96,3035.97,87.12,2109,Warning,No
ENG-001,2026-01-01 14:05:00,679.43,44.45,4.63,2799.24,87.84,2109,Warning,No
ENG-001,2026-01-01 14:10:00,731.43,41.15,3.88,2678.46,95.17,2109,Warning,No
ENG-001,2026-01-01 14:15:00,638.95,54.13,3.83,2580.34,87.4,2109,Normal,No
ENG-001,2026-01-01 14:20:00,715.42,45.7,3.03,2205.73,89.67,2109,Normal,No
ENG-001,2026-01-01 14:25:00,706.3,51.62,5.46,2278.25,96.15,2109,Warning,No
ENG-001,2026-01-01 14:30:00,676.36,46.21,1.32,2541.58,89.97,2109,Normal,No
ENG-001,2026-01-01 14:35:00,685.09,45.11,1.09,2709.96,96.4,2109,Normal,No
ENG-001,2026-01-01 14:40:00,749.75,52.67,3.83,2372.3,91.81,2109,Normal,No
ENG-001,2026-01-01 14:45:00,666.18,51.34,5.17,2539.1,85.72,2109,Warning,No
ENG-001,2026-01-01 14:50:00,672.19,46.21,3.22,2413.99,89.68,2109,Normal,No
ENG-001,2026-01-01 14:55:00,677.95,43.89,3.69,2565.65,93.0,2109,Normal,No
ENG-001,2026-01-01 15:00:00,740.92,42.44,2.86,2128.5,92.34,2109,Normal,No
ENG-001,2026-01-01 15:05:00,706.7,45.61,5.26,2590.18,86.84,2109,Warning,No
ENG-001,2026-01-01 15:10:00,698.39,47.06,3.24,2076.59,93.35,2109,Normal,No
ENG-001,2026-01-01 15:15:00,695.24,57.72,2.75,2448.58,86.56,2109,Normal,No
ENG-001,2026-01-01 15:20:00,673.28,50.23,2.45,2413.54,87.78,2109,Normal,No
ENG-001,2026-01-01 15:25:00,702.87,49.69,2.96,2374.27,87.21,2109,Normal,No
ENG-001,2026-01-01 15:30:00,703.51,37.19,1.02,2461.72,94.92,2109,Critical,Yes
ENG-001,2026-01-01 15:35:00,692.27,50.05,3.49,2924.2,89.75,2109,Normal,No
ENG-001,2026-01-01 15:40:00,704.94,54.22,2.9,2437.72,90.74,2109,Normal,No
ENG-001,2026-01-01 15:45:00,649.4,45.64,3.37,2515.03,97.72,2109,Normal,No
ENG-001,2026-01-01 15:50:00,719.13,48.53,0.07,2295.85,93.3,2109,Normal,No
ENG-001,2026-01-01 15:55:00,721.81,44.7,2.91,2487.33,96.15,2109,Normal,No
ENG-001,2026-01-01 16:00:00,737.73,37.07,1.42,2515.98,83.41,2109,Critical,Yes
ENG-001,2026-01-01 16:05:00,730.82,42.02,4.49,2551.72,85.39,2109,Normal,No
ENG-001,2026-01-01 16:10:00,711.0,52.32,5.67,2540.5,89.1,2109,Critical,Yes
ENG-001,2026-01-01 16:15:00,740.86,41.84,4.04,2564.41,85.47,2109,Warning,No
ENG-001,2026-01-01 16:20:00,717.56,58.42,3.21,2319.61,97.66,2109,Normal,No
ENG-001,2026-01-01 16:25:00,658.23,51.75,2.04,2474.4,97.05,2109,Normal,No
ENG-001,2026-01-01 16:30:00,700.07,46.94,2.44,2390.44,90.88,2109,Normal,No
ENG-001,2026-01-01 16:35:00,739.27,58.51,3.56,2561.86,88.59,2109,Normal,No
ENG-001,2026-01-01 16:40:00,732.12,48.0,3.79,2545.22,92.6,2109,Normal,No
ENG-001,2026-01-01 16:45:00,731.2,49.77,3.21,2394.26,94.64,2109,Normal,No
ENG-001,2026-01-01 16:50:00,675.78,49.5,3.84,2275.23,88.9,2109,Normal,No
ENG-001,2026-01-01 16:55:00,772.91,55.91,2.51,2367.46,88.22,2109,Warning,No
ENG-001,2026-01-01 17:00:00,708.34,49.77,3.6,2614.17,90.78,2109,Normal,No
ENG-001,2026-01-01 17:05:00,751.47,39.28,1.97,2371.48,91.09,2109,Warning,No
ENG-001,2026-01-01 17:10:00,696.2,45.9,2.84,2264.89,90.67,2109,Normal,No
ENG-001,2026-01-01 17:15:00,774.17,46.45,3.74,2466.16,99.43,2109,Warning,No
ENG-001,2026-01-01 17:20:00,705.75,41.62,3.05,2431.25,88.07,2109,Warning,No
ENG-001,2026-01-01 17:25:00,694.55,42.42,4.95,2222.91,89.62,2109,Warning,No
ENG-001,2026-01-01 17:30:00,737.96,45.43,0.97,2524.86,90.77,2109,Normal,No
ENG-001,2026-01-01 17:35:00,678.76,45.21,0.42,2227.19,94.86,2109,Normal,No
ENG-001,2026-01-01 17:40:00,700.93,48.73,2.83,2428.14,92.85,2109,Normal,No
ENG-001,2026-01-01 17:45:00,728.46,48.19,4.5,2377.82,95.85,2109,Normal,No
ENG-001,2026-01-01 17:50:00,765.85,45.99,2.06,2488.98,94.37,2109,Warning,No
ENG-001,2026-01-01 17:55:00,715.84,58.9,3.9,2241.29,92.84,2109,Normal,No
ENG-001,2026-01-01 18:00:00,761.4,49.74,0.7,2396.93,93.54,2109,Warning,No
ENG-001,2026-01-01 18:05:00,700.54,46.4,4.2,2680.21,89.1,2109,Normal,No
ENG-001,2026-01-01 18:10:00,711.01,45.48,3.09,2643.26,93.87,2109,Normal,No
ENG-001,2026-01-01 18:15:00,693.52,47.98,2.83,2257.85,87.69,2109,Normal,No
ENG-001,2026-01-01 18:20:00,747.26,50.07,2.26,2380.54,92.67,2109,Normal,No
ENG-001,2026-01-01 18:25:00,689.32,47.05,4.83,2489.35,87.58,2109,Warning,No
ENG-001,2026-01-01 18:30:00,700.57,49.47,5.26,2457.01,96.34,2109,Warning,No
ENG-001,2026-01-01 18:35:00,693.24,55.23,3.23,2442.83,91.82,2109,Normal,No
ENG-001,2026-01-01 18:40:00,698.62,46.97,3.81,2239.78,91.72,2109,Normal,No
ENG-001,2026-01-01 18:45:00,768.92,42.24,2.06,2526.52,91.3,2109,Warning,No
ENG-001,2026-01-01 18:50:00,703.44,48.04,2.85,2688.66,92.29,2109,Normal,No
ENG-001,2026-01-01 18:55:00,704.81,49.22,5.37,2577.46,89.46,2109,Warning,No
ENG-001,2026-01-01 19:00:00,691.08,55.88,3.9,2435.81,88.59,2109,Normal,No
ENG-001,2026-01-01 19:05:00,734.88,46.62,3.8,2640.62,88.41,2109,Normal,No
ENG-001,2026-01-01 19:10:00,694.61,50.72,2.53,2265.66,91.41,2109,Normal,No
ENG-001,2026-01-01 19:15:00,786.92,47.4,3.88,2379.57,97.3,2109,Critical,Yes
ENG-001,2026-01-01 19:20:00,648.47,54.21,3.87,2382.46,88.52,2109,Normal,No
ENG-001,2026-01-01 19:25:00,748.69,46.91,3.61,2222.17,83.85,2109,Normal,No
ENG-001,2026-01-01 19:30:00,672.19,52.52,1.82,2255.6,86.59,2109,Normal,No
ENG-001,2026-01-01 19:35:00,724.01,47.08,2.99,2734.65,90.56,2109,Normal,No
ENG-001,2026-01-01 19:40:00,689.13,49.66,2.5,2204.89,91.72,2109,Normal,No
ENG-001,2026-01-01 19:45:00,741.62,53.98,3.12,2690.99,100.92,2109,Normal,No
ENG-001,2026-01-01 19:50:00,792.1,51.83,4.34,2463.63,87.59,2109,Critical,Yes
ENG-001,2026-01-01 19:55:00,699.08,51.64,4.56,2390.11,93.23,2109,Warning,No
ENG-001,2026-01-01 20:00:00,691.73,45.82,3.28,2437.9,89.46,2109,Normal,No
ENG-001,2026-01-01 20:05:00,741.39,54.36,4.54,2656.91,94.96,2109,Warning,No
ENG-001,2026-01-01 20:10:00,734.54,54.97,5.79,2725.15,94.61,2109,Critical,Yes
ENG-001,2026-01-01 20:15:00,700.59,47.6,3.99,2364.14,93.16,2109,Normal,No
ENG-001,2026-01-01 20:20:00,790.83,46.86,5.34,2505.62,102.3,2109,Critical,Yes
ENG-001,2026-01-01 20:25:00,702.84,49.19,3.74,2574.28,87.26,2109,Normal,No
ENG-001,2026-01-01 20:30:00,723.91,48.69,2.95,2238.74,89.71,2109,Normal,No
ENG-001,2026-01-01 20:35:00,735.09,47.66,2.92,2465.14,89.49,2109,Normal,No
ENG-001,2026-01-01 20:40:00,664.06,45.62,2.61,2678.11,93.5,2109,Normal,No
ENG-001,2026-01-01 20:45:00,688.64,56.18,4.45,2408.04,90.29,2109,Normal,No
ENG-001,2026-01-01 20:50:00,704.23,45.43,4.55,2786.86,94.64,2109,Warning,No
ENG-001,2026-01-01 20:55:00,684.06,49.1,3.79,2328.16,92.63,2109,Normal,No
ENG-001,2026-01-01 21:00:00,763.78,42.11,3.12,2587.22,94.47,2109,Warning,No
ENG-001,2026-01-01 21:05:00,662.33,49.28,1.35,2290.33,92.38,2109,Normal,No
ENG-001,2026-01-01 21:10:00,713.01,48.06,1.03,2459.92,93.1,2109,Normal,No
ENG-001,2026-01-01 21:15:00,667.38,47.54,3.73,2206.84,90.39,2109,Normal,No
ENG-001,2026-01-01 21:20:00,737.63,49.86,4.04,2529.14,92.86,2109,Normal,No
ENG-001,2026-01-01 21:25:00,682.36,51.8,3.93,2312.18,98.42,2109,Normal,No
ENG-001,2026-01-01 21:30:00,699.74,45.51,3.71,2303.46,95.54,2109,Normal,No
ENG-001,2026-01-01 21:35:00,673.48,46.69,3.46,2569.28,90.12,2109,Normal,No
ENG-001,2026-01-01 21:40:00,687.53,50.88,2.87,2378.49,90.93,2109,Normal,No
ENG-001,2026-01-01 21:45:00,710.83,40.1,4.05,2329.48,95.5,2109,Warning,No
ENG-001,2026-01-01 21:50:00,714.03,44.12,2.69,2308.07,85.68,2109,Normal,No
ENG-001,2026-01-01 21:55:00,736.31,49.85,1.96,2180.85,91.28,2109,Normal,No
ENG-001,2026-01-01 22:00:00,765.67,49.16,3.84,2442.12,90.97,2109,Warning,No
ENG-001,2026-01-01 22:05:00,748.42,45.92,4.05,2616.73,82.15,2109,Normal,No
ENG-001,2026-01-01 22:10:00,722.07,45.74,2.07,2381.05,93.61,2109,Normal,No
ENG-001,2026-01-01 22:15:00,736.97,53.45,5.23,2788.45,88.43,2109,Warning,No
ENG-001,2026-01-01 22:20:00,721.86,50.21,3.97,2665.66,94.27,2109,Normal,No
ENG-001,2026-01-01 22:25:00,679.02,52.79,3.65,2377.61,95.98,2109,Normal,No
ENG-001,2026-01-01 22:30:00,708.53,58.53,2.76,2633.3,90.85,2109,Normal,No
ENG-001,2026-01-01 22:35:00,734.34,46.49,4.14,2473.96,91.06,2109,Normal,No
ENG-001,2026-01-01 22:40:00,758.29,40.15,2.45,2664.92,91.51,2109,Warning,No
ENG-001,2026-01-01 22:45:00,686.27,56.57,3.93,2467.96,89.65,2109,Normal,No
ENG-001,2026-01-01 22:50:00,730.08,53.82,2.85,2266.17,91.65,2109,Normal,No
ENG-001,2026-01-01 22:55:00,762.27,56.76,3.67,2358.58,90.99,2109,Warning,No
ENG-001,2026-01-01 23:00:00,693.41,49.11,3.15,2328.89,90.22,2109,Normal,No
ENG-001,2026-01-01 23:05:00,763.95,47.84,2.7,2530.0,91.8,2109,Warning,No
ENG-001,2026-01-01 23:10:00,705.95,50.75,2.47,2649.59,95.71,2109,Normal,No
ENG-001,2026-01-01 23:15:00,711.52,43.64,5.22,2426.83,90.05,2109,Warning,No
ENG-001,2026-01-01 23:20:00,722.26,38.52,5.77,2509.54,95.7,2109,Critical,Yes
ENG-001,2026-01-01 23:25:00,719.0,49.0,4.48,2921.83,92.99,2109,Normal,No
ENG-001,2026-01-01 23:30:00,731.89,51.65,2.05,2611.23,89.05,2109,Normal,No
ENG-001,2026-01-01 23:35:00,695.8,52.85,1.36,2513.17,95.09,2109,Normal,No
ENG-001,2026-01-01 23:40:00,759.13,53.94,3.15,2587.55,96.41,2109,Warning,No
ENG-001,2026-01-01 23:45:00,695.15,48.47,0.22,2403.03,95.22,2109,Normal,No
ENG-001,2026-01-01 23:50:00,765.44,47.33,2.23,2129.24,92.24,2109,Warning,No
ENG-001,2026-01-01 23:55:00,665.0,51.19,2.64,2555.35,90.7,2109,Normal,No
ENG-001,2026-01-02 00:00:00,672.27,56.96,3.56,2500.15,88.45,2109,Normal,No
ENG-001,2026-01-02 00:05:00,641.56,57.38,3.06,2369.66,94.66,2109,Normal,No
ENG-001,2026-01-02 00:10:00,721.55,51.11,4.09,2490.7,89.9,2109,Normal,No
ENG-001,2026-01-02 00:15:00,792.63,44.36,1.85,2214.17,89.95,2109,Critical,Yes
ENG-001,2026-01-02 00:20:00,745.14,48.48,1.13,2130.45,91.02,2109,Normal,No
ENG-001,2026-01-02 00:25:00,764.82,46.9,3.77,2320.64,97.16,2109,Warning,No
ENG-001,2026-01-02 00:30:00,722.46,36.49,2.55,2486.7,95.33,2109,Critical,Yes
ENG-001,2026-01-02 00:35:00,709.67,48.83,2.48,2531.56,96.13,2109,Normal,No
ENG-002,2026-01-01 08:00:00,695.37,52.3,1.74,2363.68,92.73,1679,Normal,No
ENG-002,2026-01-01 08:05:00,693.61,50.29,2.16,2300.67,91.06,1679,Normal,No
ENG-002,2026-01-01 08:10:00,746.89,51.56,2.62,2543.34,87.38,1679,Normal,No
ENG-002,2026-01-01 08:15:00,711.25,41.09,0.55,2330.67,92.63,1679,Warning,No
ENG-002,2026-01-01 08:20:00,723.75,49.55,3.84,2413.78,85.43,1679,Normal,No
ENG-002,2026-01-01 08:25:00,786.82,40.77,2.23,2522.06,92.45,1679,Critical,Yes
ENG-002,2026-01-01 08:30:00,650.93,32.41,2.53,2163.21,97.2,1679,Critical,Yes
ENG-002,2026-01-01 08:35:00,694.99,43.42,4.47,2322.66,91.61,1679,Normal,No
ENG-002,2026-01-01 08:40:00,770.99,44.37,2.7,2113.23,99.39,1679,Warning,No
ENG-002,2026-01-01 08:45:00,698.62,44.65,3.28,2206.89,90.7,1679,Normal,No
ENG-002,2026-01-01 08:50:00,682.08,51.03,4.17,2563.24,92.76,1679,Normal,No
ENG-002,2026-01-01 08:55:00,706.1,46.49,3.11,2577.95,91.26,1679,Normal,No
ENG-002,2026-01-01 09:00:00,723.3,44.99,2.52,2389.52,87.82,1679,Normal,No
ENG-002,2026-01-01 09:05:00,682.79,54.96,4.45,2585.83,92.59,1679,Normal,No
ENG-002,2026-01-01 09:10:00,759.8,46.83,2.76,2488.98,84.0,1679,Warning,No
ENG-002,2026-01-01 09:15:00,633.69,40.25,3.99,2597.43,99.04,1679,Warning,No
ENG-002,2026-01-01 09:20:00,714.67,47.9,3.18,2344.31,92.18,1679,Normal,No
ENG-002,2026-01-01 09:25:00,741.42,36.8,5.17,2414.14,90.42,1679,Critical,Yes
ENG-002,2026-01-01 09:30:00,720.85,42.22,2.32,2516.7,97.06,1679,Normal,No
ENG-002,2026-01-01 09:35:00,671.43,50.76,4.29,2665.76,89.85,1679,Normal,No
ENG-002,2026-01-01 09:40:00,675.09,44.34,3.18,2465.82,90.96,1679,Normal,No
ENG-002,2026-01-01 09:45:00,738.98,52.21,2.32,2592.6,85.12,1679,Normal,No
ENG-002,2026-01-01 09:50:00,723.19,44.88,4.54,2546.65,90.03,1679,Warning,No
ENG-002,2026-01-01 09:55:00,646.85,51.44,2.74,2262.29,92.86,1679,Normal,No
ENG-002,2026-01-01 10:00:00,696.38,52.26,2.82,2504.71,92.37,1679,Normal,No
ENG-002,2026-01-01 10:05:00,746.71,47.37,3.11,2373.84,97.21,1679,Normal,No
ENG-002,2026-01-01 10:10:00,672.09,60.14,3.58,2395.91,96.79,1679,Normal,No
ENG-002,2026-01-01 10:15:00,753.75,51.69,4.08,2249.81,97.93,1679,Warning,No
ENG-002,2026-01-01 10:20:00,737.03,41.93,2.91,2322.46,93.77,1679,Warning,No
ENG-002,2026-01-01 10:25:00,701.76,40.68,5.03,2277.41,92.37,1679,Warning,No
ENG-002,2026-01-01 10:30:00,701.33,47.68,2.0,2168.98,93.38,1679,Normal,No
ENG-002,2026-01-01 10:35:00,744.99,39.15,2.68,2441.48,89.76,1679,Warning,No
ENG-002,2026-01-01 10:40:00,686.26,49.54,5.09,2455.61,89.37,1679,Warning,No
ENG-002,2026-01-01 10:45:00,736.96,43.44,3.73,2651.86,93.06,1679,Normal,No
ENG-002,2026-01-01 10:50:00,665.08,48.98,4.89,2394.54,93.81,1679,Warning,No
ENG-002,2026-01-01 10:55:00,701.86,65.67,5.11,2525.07,91.37,1679,Warning,No
ENG-002,2026-01-01 11:00:00,782.41,51.17,4.03,2412.27,90.61,1679,Critical,Yes
ENG-002,2026-01-01 11:05:00,703.81,52.61,1.66,2769.91,89.55,1679,Normal,No
ENG-002,2026-01-01 11:10:00,719.33,52.2,2.75,2540.99,96.45,1679,Normal,No
ENG-002,2026-01-01 11:15:00,685.16,47.01,4.12,2099.84,87.91,1679,Normal,No
ENG-002,2026-01-01 11:20:00,730.95,51.94,0.82,2549.38,93.86,1679,Normal,No
ENG-002,2026-01-01 11:25:00,671.75,51.02,4.01,2345.26,96.55,1679,Normal,No
ENG-002,2026-01-01 11:30:00,762.83,54.69,4.32,2384.17,94.82,1679,Warning,No
ENG-002,2026-01-01 11:35:00,679.54,54.38,3.08,2751.27,91.77,1679,Normal,No
ENG-002,2026-01-01 11:40:00,656.91,50.69,4.18,2539.25,94.14,1679,Normal,No
ENG-002,2026-01-01 11:45:00,702.72,43.89,1.85,2577.13,95.25,1679,Normal,No
ENG-002,2026-01-01 11:50:00,660.79,46.47,2.67,2362.13,95.87,1679,Normal,No
ENG-002,2026-01-01 11:55:00,623.08,54.47,4.38,2666.46,85.17,1679,Normal,No
ENG-002,2026-01-01 12:00:00,716.48,44.73,2.21,2594.37,91.08,1679,Normal,No
ENG-002,2026-01-01 12:05:00,715.4,38.24,3.55,2597.91,88.0,1679,Warning,No
ENG-002,2026-01-01 12:10:00,680.5,44.51,3.25,2539.15,85.72,1679,Normal,No
ENG-002,2026-01-01 12:15:00,770.82,48.36,2.19,2332.43,88.67,1679,Warning,No
ENG-002,2026-01-01 12:20:00,671.02,51.76,3.7,2772.88,88.48,1679,Normal,No
ENG-002,2026-01-01 12:25:00,700.11,51.31,2.5,2676.32,88.0,1679,Normal,No
ENG-002,2026-01-01 12:30:00,737.56,49.87,2.85,2246.98,87.78,1679,Normal,No
ENG-002,2026-01-01 12:35:00,672.25,54.57,3.53,2345.3,93.52,1679,Normal,No
ENG-002,2026-01-01 12:40:00,722.92,43.91,1.85,2191.75,88.03,1679,Normal,No
ENG-002,2026-01-01 12:45:00,724.42,43.8,4.23,2649.14,86.79,1679,Normal,No
ENG-002,2026-01-01 12:50:00,720.26,46.3,3.72,2327.28,85.88,1679,Normal,No
ENG-002,2026-01-01 12:55:00,752.47,43.08,3.0,2520.19,95.8,1679,Warning,No
ENG-002,2026-01-01 13:00:00,684.63,44.27,3.6,2329.35,97.34,1679,Normal,No
ENG-002,2026-01-01 13:05:00,649.36,46.31,5.08,2243.14,94.67,1679,Warning,No
ENG-002,2026-01-01 13:10:00,701.3,47.98,4.44,2482.64,86.74,1679,Normal,No
ENG-002,2026-01-01 13:15:00,725.88,45.58,4.66,2715.53,87.72,1679,Warning,No
ENG-002,2026-01-01 13:20:00,757.74,42.22,5.56,2204.24,89.81,1679,Critical,Yes
ENG-002,2026-01-01 13:25:00,710.76,46.28,2.66,2515.53,89.75,1679,Normal,No
ENG-002,2026-01-01 13:30:00,738.71,48.2,1.17,2079.05,88.74,1679,Normal,No
ENG-002,2026-01-01 13:35:00,616.75,50.32,3.86,2474.82,101.7,1679,Normal,No
ENG-002,2026-01-01 13:40:00,672.0,53.97,2.41,2619.94,96.14,1679,Normal,No
ENG-002,2026-01-01 13:45:00,717.06,45.85,3.62,2242.8,90.53,1679,Normal,No
ENG-002,2026-01-01 13:50:00,713.91,48.97,2.1,2324.05,90.72,1679,Normal,No
ENG-002,2026-01-01 13:55:00,777.54,50.73,3.41,2578.58,89.65,1679,Warning,No
ENG-002,2026-01-01 14:00:00,657.6,46.44,2.21,2317.52,90.78,1679,Normal,No
ENG-002,2026-01-01 14:05:00,742.31,50.61,5.18,2533.01,90.3,1679,Warning,No
ENG-002,2026-01-01 14:10:00,740.94,52.68,2.01,2754.95,97.16,1679,Normal,No
ENG-002,2026-01-01 14:15:00,748.06,40.65,4.67,2252.29,90.73,1679,Warning,No
ENG-002,2026-01-01 14:20:00,718.21,44.85,2.63,2428.96,94.56,1679,Normal,No
ENG-002,2026-01-01 14:25:00,732.25,53.3,3.61,2576.8,91.29,1679,Normal,No
ENG-002,2026-01-01 14:30:00,728.35,48.33,2.18,2804.18,84.43,1679,Normal,No
ENG-002,2026-01-01 14:35:00,731.97,56.64,3.32,2666.38,86.68,1679,Normal,No
ENG-002,2026-01-01 14:40:00,746.93,45.88,3.23,2334.7,92.48,1679,Normal,No
ENG-002,2026-01-01 14:45:00,736.41,46.34,3.53,2819.5,89.72,1679,Normal,No
